Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
爱,ài,to love; affection; to be fond of; to like,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
八,bā,eight; 8,bát,tám,我有八本书。Tôi có tám quyển sách.
爸爸,bàbà,(informal) father; CL:個|个[gè];位[wèi],bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
杯子,bēizi,cup; glass; CL:個|个[gè];支[zhī];枝[zhī],bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北京,běijīng,Beijing; capital of People's Republic of China; Peking; PRC government,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
本,běn,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
不客气,búkèqì,you're welcome; impolite; rude; blunt; don't mention it,bất khách khí,không có gì,A：谢谢！B：不客气！
不,bù,(negative prefix); not; no,bất,không,我不去。Tôi không đi.
菜,cài,dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán];道[dào],thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
茶,chá,tea; tea plant; CL:杯[bēi];壺|壶[hú],trà,trà,我喝茶。Tôi uống trà.
吃,chī,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,xích,ăn,我吃米饭。Tôi ăn cơm.
出租车,chūzūchē,taxi,xuất tô xa,xe taxi,我们坐出租车去。Chúng tôi đi taxi.
打电话,dǎdiànhuà,to make a telephone call,đả điện thoại,gọi điện,我给你打电话。Tôi gọi điện cho bạn.
大,dà,big; huge; large; major; great; wide; deep; oldest; eldest,đại,to/lớn,这是一只大狗。Đây là con chó lớn.
的,de,of; structural particle: used before a noun; linking it to preceding possessive or descriptive attributive,đích,của,这是我的书。Đây là sách của tôi.
点,diǎn,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,điểm,giờ/chấm,现在三点。Bây giờ là 3 giờ.
电脑,diànnǎo,computer; CL:臺|台[tái],điện não,máy tính,我有一台电脑。Tôi có một máy tính.
电视,diànshì,television; TV; CL:臺|台[tái];個|个[gè],điện thị,tivi,我在看电视。Tôi đang xem tivi.
电影,diànyǐng,movie; film; CL:部[bù];片[piàn];幕[mù];場|场[chǎng],điện ảnh,phim,我喜欢中国电影。Tôi thích phim Trung Quốc.
东西,dōngxī,thing; stuff; person; CL:個|个[gè];件[jiàn],đông tây,đồ vật,我买了一些东西。Tôi mua vài món đồ.
都,dōu,all; both; entirely (due to) each; even; already,đô,đều,我们都是学生。Chúng tôi đều là học sinh.
读,dú,to read; to study; reading of word (i.e. pronunciation); similar to 拼音[pīn yīn],độc,đọc,我读书。Tôi đọc sách.
对不起,duìbùqǐ,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),đối bất khởi,xin lỗi,对不起！— Không sao。
多,duō,many; much; a lot of; numerous; multi-,đa,nhiều,这里很多人。Ở đây nhiều người.
多少,duōshǎo,number; amount; somewhat,đa thiểu,bao nhiêu,这个多少钱？Cái này bao nhiêu tiền?
儿子,érzi,son,nhi tử,con trai,他有一个儿子。Anh ấy có một con trai.
二,èr,two; 2; stupid (Beijing dialect),nhị,hai,二月是二月。Tháng hai là tháng 2.
饭馆,fànguǎn,restaurant; CL:家[jiā],phạn quán,nhà hàng/quán ăn,我们去饭馆吃饭。Chúng tôi đi quán ăn.
飞机,fēijī,airplane; CL: 架[jià],phi cơ,máy bay,我坐飞机去北京。Tôi đi Bắc Kinh bằng máy bay.
分钟,fēnzhōng,minute,phân chung,phút,等我五分钟。Đợi tôi năm phút.
高兴,gāoxìng,happy; glad; willing (to do sth); in a cheerful mood,cao hứng,vui,认识你很高兴。Rất vui được gặp bạn.
个,gè,individual; this; that; size; classifier for people or objects in general,cá,cái,一个人：một người.
工作,gōngzuò,job; work; construction; task; CL:個|个[gè];份[fèn];項|项[xiàng],công tác,làm việc,我在学校工作。Tôi làm việc ở trường.
狗,gǒu,dog; CL:隻|只[zhī];條|条[tiáo],cẩu,chó,我有一只狗。Tôi có một con chó.
汉语,hànyǔ,Chinese language; CL:門|门[mén],Hán ngữ,tiếng Trung,我学习汉语。Tôi học tiếng Trung.
好,hǎo,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),hảo,tốt,今天天气很好。Hôm nay thời tiết rất tốt.
喝,hē,to drink; to shout (a command); My goodness!,hát,uống,我喝水。Tôi uống nước.
和,hé,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  hàn,hòa,và,我和你。Tôi và bạn.
很,hěn,(adverb of degree); quite; very; awfully,ngận,rất,我很高兴。Tôi rất vui.
后面,hòumiàn,rear; back; behind; later; afterwards,hậu diện,phía sau,学校后面有商店。Sau trường có cửa hàng.
回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),hồi,về,我回家。Tôi về nhà.
会,huì,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[gè]; a moment (Taiwan pr. for this sense is huǐ),hội,biết/có thể,我会说中文。Tôi biết nói tiếng Trung.
火车站,huǒchēzhàn,train station,hỏa xa trạm,ga tàu,我们在火车站见。Chúng ta gặp ở ga tàu.
几,jǐ,how much; how many; several; a few,kỷ,mấy,你几岁？Bạn mấy tuổi?
家,jiā,home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary; corresponds to English -ist; -er; -ary or -ian; surname Jia; CL:個|个[gè],gia,nhà,我家在河内。Nhà tôi ở Hà Nội.
叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),khiếu,gọi là,我叫明。Tôi tên là Minh.
今天,jīntiān,today; at the present; now,kim thiên,hôm nay,今天是星期三。Hôm nay là thứ tư.
九,jiǔ,nine; 9,cửu,chín,我有九个苹果。Tôi có chín quả táo.
开,kāi,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,khai,mở,开门！Mở cửa!
看,kàn,to look after; to take care of; to watch; to guard,khán,xem/nhìn,我看书。Tôi đọc sách.
看见,kànjiàn,to see; to catch sight of,khán kiến,nhìn thấy,我看见他了。Tôi nhìn thấy anh ấy.
块,kuài,lump (of earth); chunk; piece; classifier for pieces of cloth; cake; soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc); usually as 塊錢|块钱,khối,đồng/miếng,一块钱：1 tệ
来,lái,to come; to arrive; to come round; ever since; next,lai,đến,你来这儿。Bạn đến đây.
老师,lǎoshī,teacher; CL:個|个[gè];位[wèi],lão sư,giáo viên,我是老师。Tôi là giáo viên.
了,le,(modal particle intensifying preceding clause); (completed action marker),liễu,(trợ từ) đã,我吃了。Tôi ăn rồi.
冷,lěng,cold,lãnh,lạnh,今天很冷。Hôm nay rất lạnh.
里,lǐ,lining; interior; inside; internal; also written 裡|里 [lǐ],lí,bên trong,在家里：ở trong nhà.
零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,linh,không,零度。0 độ.
六,liù,six; 6,lục,sáu,六个学生。Sáu học sinh.
妈妈,māmā,mama; mommy; mother; CL:個|个[gè];位[wèi],ma ma,mẹ,妈妈在家。Mẹ ở nhà.
吗,ma,(question tag),ma,à/hả/không?,你好吗？Bạn khỏe không?
买,mǎi,to buy; to purchase,mãi,mua,我买苹果。Tôi mua táo.
猫,māo,cat; CL:隻|只[zhī],miêu,mèo,我有一只猫。Tôi có một con mèo.
没,méi,(negative prefix for verbs); have not; not,một,không,我没钱。Tôi không có tiền.
没关系,méiguānxì,it doesn't matter,một quan hệ,không sao,没关系！Không sao!
米饭,mǐfàn,(cooked) rice,mễ phạn,cơm,我爱吃米饭。Tôi thích ăn cơm.
明天,míngtiān,tomorrow,minh thiên,ngày mai,明天见。Hẹn gặp ngày mai.
名字,míngzì,name (of a person or thing); CL:個|个[gè],danh tự,tên,你的名字是什么？Tên bạn là gì?
哪,nǎ,how; which,nả,nào,你去哪？Bạn đi đâu?
那,nà,that; those; then (in that case); commonly pr. nèi before a classifier; esp. in Beijing,na,đó/kia,那是我的。Cái đó là của tôi.
呢,ne,(question particle for subjects already mentioned),ni,thì sao?,你呢？Còn bạn?
能,néng,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,năng,có thể,我能来。Tôi có thể đến.
你,nǐ,you (informal; as opposed to polite 您[nín]),nễ,bạn,你好吗？Bạn khỏe không?
年,nián,year; CL:個|个[gè],niên,năm,今年是2025年。Năm nay là 2025.
女儿,nǚér,daughter,nữ nhi,con gái,我有一个女儿。Tôi có một con gái.
朋友,péngyǒu,friend; CL:個|个[gè];位[wèi],bằng hữu,bạn bè,他是我的朋友。Anh ấy là bạn tôi.
漂亮,piàoliàng,pretty; beautiful,phiếu lượng,xinh đẹp,她很漂亮。Cô ấy rất đẹp.
苹果,píngguǒ,apple; CL:個|个[gè];顆|颗[kē],bình quả,táo,我吃苹果。Tôi ăn táo.
七,qī,seven; 7,thất,bảy,七个人。7 người.
钱,qián,coin; money; CL:筆|笔[bǐ],tiền,tiền,我有很多钱。Tôi có nhiều tiền.
前面,qiánmiàn,ahead; in front; preceding; above,tiền diện,phía trước,前面有人。Phía trước có người.
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,thỉnh,xin/mời,请进！Mời vào!
去,qù,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,khứ,đi,我去学校。Tôi đi học.
热,rè,heat; to heat up; fervent; hot (of weather); warm up,nhiệt,nóng,天气很热。Thời tiết rất nóng.
人,rén,man; person; people; CL:個|个[gè];位[wèi],nhân,người,很多人。Nhiều người.
认识,rènshí,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,nhận thức,biết/quen,我认识他。Tôi quen anh ấy.
日,rì,sun; day; date; day of the month; abbr. for 日本|日本 Japan,nhật,ngày,今天是三日。Hôm nay ngày 3.
三,sān,three; 3,tam,ba,三个人。Ba người.
商店,shāngdiàn,store; shop; CL:家[jiā];個|个[gè],thương điếm,cửa hàng,我去商店。Tôi đi cửa hàng.
上,shàng,on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university),thượng,trên,在桌子上。Trên bàn.
上午,shàngwǔ,morning; CL:個|个[gè],thượng ngọ,buổi sáng,上午我学习。Sáng tôi học.
少,shǎo,few; little; lack,thiểu,ít,人很少。Ít người.
谁,shuí,who; also pronounced shuí,thuỳ,ai,你是谁？Bạn là ai?
什么,shénme,what?; who?; something; anything,thập ma,cái gì,你说什么？Bạn nói gì?
十,shí,ten; 1,thập,mười,十个人。10 người.
时候,shíhòu,time; length of time; moment; period,thì hậu,khi/lúc,什么时候？Khi nào?
是,shì,is; are; am; yes; to be,thị,là,这是我。Đây là tôi.
书,shū,book; letter; CL:本[běn];冊|册[cè];部[bù]; see also 書經|书经 Book of History,thư,sách,我买书。Tôi mua sách.
水,shuǐ,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,thuỷ,nước,我喝水。Tôi uống nước.
水果,shuǐguǒ,fruit; CL:個|个[gè],thuỷ quả,trái cây,我喜欢吃水果。Tôi thích ăn trái cây.
睡觉,shuìjiào,to go to bed; to go to sleep,thuỵ giác,ngủ,我去睡觉。Tôi đi ngủ.
说话,shuōhuà,to speak; to say; to talk; to gossip; to tell stories; talk; word,thuyết thoại,nói chuyện,不要说话。Đừng nói chuyện.
四,sì,four; 4,tứ,bốn,四个人。4 người.
岁,suì,classifier for years (of age); year; year (of crop harvests),tuế,tuổi,我二十岁。Tôi 20 tuổi.
他,tā,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,tha,anh ấy,他是老师。Anh ấy là giáo viên.
她,tā,she,tha,cô ấy,她很好。Cô ấy rất tốt.
太,tài,highest; greatest; too (much); very; extremely,thái,quá,太热了！Nóng quá!
天气,tiānqì,weather,thiên khí,thời tiết,今天天气很好。Hôm nay thời tiết đẹp.
听,tīng,to listen; to hear; to obey; a can (loanword from English tin); classifier for canned beverages,thính,nghe,我听音乐。Tôi nghe nhạc.
同学,tóngxué,(fellow) classmate; CL:位[wèi];個|个[gè],đồng học,bạn học,我是你的同学。Tôi là bạn học của bạn.
喂,wèi,hello (interj.; esp. on telephone); hey; to feed (sb or some animal),vị,alo,喂;你好！Alo; xin chào!
我,wǒ,I; me; my,ngã,tôi,我是学生。Tôi là học sinh.
我们,wǒmen,we; us; ourselves; our,ngã môn,chúng tôi/chúng ta,我们是朋友。Chúng ta là bạn.
五,wǔ,five; 5,ngũ,năm,五个人。5 người.
喜欢,xǐhuān,to like; to be fond of,hỷ hoan,thích,我喜欢你。Tôi thích bạn.
下,xià,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,hạ,xuống/dưới,坐下。Ngồi xuống.
下午,xiàwǔ,afternoon; p.m.; CL:個|个[gè],hạ ngọ,buổi chiều,下午我工作。Chiều tôi làm việc.
下雨,xiàyǔ,to rain; rainy,hạ vũ,mưa,今天下雨。Hôm nay trời mưa.
先生,xiānshēng,teacher; Mister (Mr.); husband; doctor (topolect); CL:個|个[gè];位[wèi],tiên sinh,ông/ngài,王先生。Ông Vương.
现在,xiànzài,now; at present; at the moment; modern; current; nowadays,hiện tại,bây giờ,我现在去。Bây giờ tôi đi.
想,xiǎng,to think; to believe; to suppose; to wish; to want; to miss,tưởng,muốn/nghĩ,我想你。Tôi nhớ bạn.
小,xiǎo,small; tiny; few; young,tiểu,nhỏ,小孩子。Trẻ nhỏ.
小姐,xiǎojiě,young lady; miss; CL:個|个[gè];位[wèi],tiểu thư,cô,小姐;请问… Cô ơi cho hỏi...
些,xiē,some; few; several; (a measure word),tá,một vài,一些东西。Một vài đồ.
写,xiě,to write,tả,viết,我写字。Tôi viết chữ.
谢谢,xièxiè,to thank; thanks,tạ tạ,cảm ơn,谢谢你！Cảm ơn bạn!
星期,xīngqī,week; CL:個|个[gè],tinh kì,tuần,星期一：thứ hai.
学生,xuéshēng,student; school child,học sinh,học sinh,我是学生。Tôi là học sinh.
学习,xuéxí,to learn; to study,học tập,học,我学习中文。Tôi học tiếng Trung.
学校,xuéxiào,school; CL:所[suǒ],học hiệu,trường học,我去学校。Tôi đi học.
一,yī,one; 1; single; a (article); as soon as; entire; whole; all; throughout; one radical in Chinese characters (Kangxi radical 1),nhất,một,一个人。Một người.
衣服,yīfú,clothes; CL:件[jiàn];套[tào],y phục,quần áo,我买衣服。Tôi mua quần áo.
医生,yīshēng,doctor; CL:個|个[gè];位[wèi];名[míng],y sinh,bác sĩ,我是医生。Tôi là bác sĩ.
医院,yīyuàn,hospital; CL:所[suǒ];家[jiā];座[zuò],y viện,bệnh viện,我去医院。Tôi đi bệnh viện.
椅子,yǐzi,chair; CL:把[bǎ];套[tào],ỷ tử,ghế,椅子在桌子前面。Ghế ở trước bàn.
有,yǒu,to have; there is; there are; to exist; to be,hữu,có,我有钱。Tôi có tiền.
月,yuè,moon; month; CL:個|个[gè];輪|轮[lún],nguyệt,tháng,这个月。Tháng này.
在,zài,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),tại,ở,我在家。Tôi ở nhà.
再见,zàijiàn,goodbye; see you again later,tái kiến,tạm biệt,再见！Tạm biệt!
怎么,zěnme,how?; what?; why?,chẩm ma,như thế nào,怎么做？Làm sao?
怎么样,zěnmeyàng,how?; how about?; how was it?; how are things?,chẩm ma dạng,thế nào,你觉得怎么样？Bạn thấy thế nào?
这,zhè,this; these; (commonly pr. zhèi before a classifier; esp. in Beijing),giá,này/đây,这是我的书。Đây là sách của tôi.
中国,zhōngguó,China; Middle Kingdom,trung Quốc,Trung Quốc,我在中国。Tôi ở Trung Quốc.
中午,zhōngwǔ,noon; midday; CL:個|个[gè],trung ngọ,buổi trưa,中午吃饭。Ăn trưa.
住,zhù,to live; to dwell; to stay; to reside; to stop,trụ,ở/sống,我住在河内。Tôi sống ở Hà Nội.
桌子,zhuōzi,table; desk; CL:張|张[zhāng];套[tào],trác tử,bàn,桌子上有书。Trên bàn có sách.
字,zì,letter; symbol; character; word; CL:個|个[gè]; courtesy or style name traditionally given to males aged 2 in dynastic China,tự,chữ,写汉字。Viết chữ Hán.
昨天,zuótiān,yesterday,tạc thiên,hôm qua,我昨天去北京。Hôm qua tôi đi Bắc Kinh.
坐,zuò,to sit; to take a seat; to take (a bus; airplane etc); to bear fruit; surname Zuo,tọa,ngồi,请坐。Mời ngồi.
做,zuò,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,tố,làm,我做饭。Tôi nấu ăn.
